Category,Product Name,Product Link,Primary Image,Original Price,Sale Price,Description,Sizes,All Images
t-shirts,Hoodie combo (Unisex),https://www.bluorng.com/collections/hoodie-combo-unisex,//bluorng.com/cdn/shop/files/k3.jpg?v=1699165759&width=1500,,,,,
t-shirts,HUMMINGBIRD BLACK T-SHIRT,https://www.bluorng.com/products/hummingbird-black-t-shirt,//bluorng.com/cdn/shop/files/WhatsApp_Image_2024-10-01_at_5.08.28_PM.jpg?v=1727782977&width=533,"RS. 4,495","RS. 4,495","Set sail in style with BLUORNG’s HUMMINGBIRD BLACK T-shirt, a bold addition to your streetwear collection. Whether you're pairing it with your favorite cargo or rocking it solo, this tee is designed to make an impact. This tee blends comfort with durability, making it perfect for all-day wear. The oversized fit gives it that signature BLUORNG vibe—casual yet undeniably cool. A striking HUMMINGBIRD BLACK graphic adds a touch of street-ready edge, ensuring you stand out from the crowd.","XXXS, XXS, XS, S, M, L, XL, XXL, XXXL","//bluorng.com/cdn/shop/files/WhatsApp_Image_2024-10-01_at_5.08.28_PM.jpg?v=1727782977&width=1946, //bluorng.com/cdn/shop/files/WhatsApp_Image_2024-10-01_at_5.08.28_PM_1.jpg?v=1727782972&width=1946, //bluorng.com/cdn/shop/files/WhatsApp_Image_2024-10-01_at_5.08.28_PM_2.jpg?v=1727782972&width=1946, //bluorng.com/cdn/shop/files/WhatsAppImage2024-10-01at5.02.47PM_1.jpg?v=1727782605&width=1946"
t-shirts,HUMMINGBIRD BROWN T-SHIRT,https://www.bluorng.com/products/hummingbird-brown-t-shirt,//bluorng.com/cdn/shop/files/WhatsApp_Image_2024-10-01_at_5.08.04_PM.jpg?v=1727782722&width=533,"RS. 4,495","RS. 4,495","Set sail in style with BLUORNG’s HUMMINGBIRD BROWN T-shirt, a bold addition to your streetwear collection. Whether you're pairing it with your favorite cargo or rocking it solo, this tee is designed to make an impact. This tee blends comfort with durability, making it perfect for all-day wear. The oversized fit gives it that signature BLUORNG vibe—casual yet undeniably cool. A striking HUMMINGBIRD BROWN graphic adds a touch of street-ready edge, ensuring you stand out from the crowd.","XXXS, XXS, XS, S, M, L, XL, XXL, XXXL","//bluorng.com/cdn/shop/files/WhatsApp_Image_2024-10-01_at_5.08.04_PM.jpg?v=1727782722&width=1946, //bluorng.com/cdn/shop/files/DSC02525copy.jpg?v=1727784775&width=1946, //bluorng.com/cdn/shop/files/DSC02525_copy11_copy.jpg?v=1727784550&width=1946, //bluorng.com/cdn/shop/files/WhatsAppImage2024-10-01at5.02.47PM.jpg?v=1727782653&width=1946"
t-shirts,GREY MATERIALISTIC T-SHIRT,https://www.bluorng.com/products/grey-materialistic-t-shirt,//bluorng.com/cdn/shop/files/WhatsAppImage2024-09-30at5.38.01PMcopyrrfcopy122.jpg?v=1727855591&width=533,"RS. 3,995","RS. 3,995","Grey Materialistic T-shirt in cotton with bold Money Over Your Feelings print. BLUORNG's signature oversized fit for a stylish, relaxed streetwear look.","XXXS, XXS, XS, S, M, L, XL, XXL, XXXL","//bluorng.com/cdn/shop/files/WhatsAppImage2024-09-30at5.38.01PMcopyrrfcopy122.jpg?v=1727855591&width=1946, //bluorng.com/cdn/shop/files/WhatsAppImage2024-10-01at4.51.32PM_1.jpg?v=1727781908&width=1946, //bluorng.com/cdn/shop/files/DSC02921_copy_2.jpg?v=1727783888&width=1946, //bluorng.com/cdn/shop/files/backgreycopy.jpg?v=1727784692&width=1946"
t-shirts,NAVY MATERIALISTIC T-SHIRT,https://www.bluorng.com/products/navy-materialistic-t-shirt,//bluorng.com/cdn/shop/files/WhatsAppImage2024-10-01at4.51.32PM_3.jpg?v=1727781874&width=533,"RS. 3,995","RS. 3,995","Navy Materialistic T-shirt in cotton with bold Money Over Your Feelings print. BLUORNG's signature oversized fit for a stylish, relaxed streetwear look.","XXXS, XXS, XS, S, M, L, XL, XXL, XXXL","//bluorng.com/cdn/shop/files/WhatsAppImage2024-10-01at4.51.32PM_3.jpg?v=1727781874&width=1946, //bluorng.com/cdn/shop/files/WhatsApp_Image_2024-10-01_at_4.51.32_PM_2.jpg?v=1727781884&width=1946, //bluorng.com/cdn/shop/files/back_copy222.jpg?v=1727784408&width=1946, //bluorng.com/cdn/shop/files/DSC03302copy.jpg?v=1727784666&width=1946"
t-shirts,BLU DEEP SEA T-SHIRT,https://www.bluorng.com/products/blu-deep-sea-t-shirt,//bluorng.com/cdn/shop/files/IMG_7758.jpg?v=1726314137&width=533,"RS. 4,495","RS. 4,495","The standout turtle graphic on the front, paired with the “Deep Sea” print on the back, this Blu Deep Sea T-shirt from BLUORNG captures a unique maritime theme. BLUORNG’s oversized fit provides a relaxed, effortlessly cool silhouette. The rich blue color and high-density print ensure that this t-shirt not only looks great but feels great too. Made from 100% cotton with a 260 GSM weight, this tee is designed for comfort and durability.","XXXS, XXS, XS, S, M, L, XL, XXL, XXXL","//bluorng.com/cdn/shop/files/IMG_7758.jpg?v=1726314137&width=1946, //bluorng.com/cdn/shop/files/IMG_7764.jpg?v=1726314137&width=1946, //bluorng.com/cdn/shop/files/IMG_7762.jpg?v=1726314137&width=1946, //bluorng.com/cdn/shop/files/IMG_7766.jpg?v=1726314137&width=1946, //bluorng.com/cdn/shop/files/IMG_7760.jpg?v=1726314137&width=1946"
t-shirts,GREY DEEP SEA T-SHIRT,https://www.bluorng.com/products/grey-deep-sea-t-shirt-copy,//bluorng.com/cdn/shop/files/IMG_7749.jpg?v=1726314113&width=533,"RS. 4,495","RS. 4,495","Step into effortless style with a t-shirt that embodies both sophistication and laid-back coolness. BLUORNG’s Grey Deep Sea T-shirt with its iconic oversized fit delivers a modern, relaxed look that’s perfect for any casual outing. This premium tee is made from 100% cotton at 260 GSM, and the high-density print ensures the design remains vibrant, wash after wash.","XXXS, XXS, XS, S, M, L, XL, XXL, XXXL","//bluorng.com/cdn/shop/files/IMG_7749.jpg?v=1726314113&width=1946, //bluorng.com/cdn/shop/files/IMG_7753.jpg?v=1726314112&width=1946, //bluorng.com/cdn/shop/files/IMG_7751.jpg?v=1726314113&width=1946, //bluorng.com/cdn/shop/files/IMG_7755.jpg?v=1726314112&width=1946"
t-shirts,PETROL ANCHOR T-SHIRT,https://www.bluorng.com/products/petrol-anchor-t-shirt,//bluorng.com/cdn/shop/files/IMG_7736.jpg?v=1726314013&width=533,"RS. 4,995","RS. 4,995","Command attention with the Petrol Anchor T-shirt from BLUORNG. Designed from 100% cotton, this tee offers exceptional softness and durability. The bold anchor graphic makes a standout statement while the relaxed silhouette gives comfort. The vibrant petrol blue color enhances the eye-catching design, making it a must-have for any streetwear enthusiast. Perfect for those who want to make a lasting impression!","XXXS, XXS, XS, S, M, L, XL, XXL, XXXL","//bluorng.com/cdn/shop/files/IMG_7736.jpg?v=1726314013&width=1946, //bluorng.com/cdn/shop/files/IMG_7734.jpg?v=1726314013&width=1946, //bluorng.com/cdn/shop/files/IMG_7743.jpg?v=1726314013&width=1946, //bluorng.com/cdn/shop/files/IMG_7745.jpg?v=1726314015&width=1946, //bluorng.com/cdn/shop/files/IMG_7746.jpg?v=1726314015&width=1946"
t-shirts,SUNRISE ANCHOR T-SHIRT,https://www.bluorng.com/products/sunrise-anchor-t-shirt,//bluorng.com/cdn/shop/files/IMG_7732.jpg?v=1726313966&width=533,"RS. 4,995","RS. 4,995","Set the tone for your streetwear style with the Sunrise Anchor T-shirt by BLUORNG. Crafted from high-quality 100% cotton, this tee ensures both comfort and durability. The dynamic sunrise anchor graphic on the front and back adds a vibrant touch to your wardrobe. BLUORNG’s oversized fit provides a relaxed, modern look that’s ideal for any casual occasion. Embrace a fresh, energetic style with a tee that’s as bold as you are.","XXXS, XXS, XS, S, M, L, XL, XXL, XXXL","//bluorng.com/cdn/shop/files/IMG_7732.jpg?v=1726313966&width=1946, //bluorng.com/cdn/shop/files/IMG_7729.jpg?v=1726313964&width=1946, //bluorng.com/cdn/shop/files/IMG_7728.jpg?v=1726313964&width=1946, //bluorng.com/cdn/shop/files/IMG_7744.jpg?v=1726313967&width=1946"
t-shirts,BRAWL T-SHIRT,https://www.bluorng.com/products/brawl-t-shirt,//bluorng.com/cdn/shop/files/bg_3.png?v=1727003132&width=533,"RS. 4,995","RS. 4,995","The BRAWL T-SHIRT is hand sketched to perfection with the BLUORNG PENCIL. Made from 100% terry cotton and showcases a bold digital-printed brawl between warriors.✏️3 fresh tees, 1 epic drop! ✏️Snag yours and score a *FREE* limited-edition collectible box of 10 pencils ✏️ with every tee!","XXXS, XXS, XS, S, M, L, XL, XXL, XXXL","//bluorng.com/cdn/shop/files/bg_3.png?v=1727003132&width=1946, //bluorng.com/cdn/shop/files/bg_4.png?v=1727003152&width=1946"
