Category,Product Name,Product Link,Primary Image,Price,Description,Sizes,All Images
men-sneakers,X Lows BLACKCURRANT,https://www.wearcomet.com/products/x-lowsblackcurrant,www.wearcomet.com/cdn/shop/files/lateral-min_9f36678c-606b-48b2-9666-f9bc443acf5f.jpg?v=1722936229&width=533,₹ 4299MRP,A rich allure of black and deep purple has a noctural elegance with a touch of gothic. BLACKCURRANT is a fusion of mystery and sophistication. The intense colours whisper tales of chic fashion in a spellbinding demeanour. The unique colourblock palette lends it a certain boldness that will make your sneakers the talk of the town.,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12","www.wearcomet.com/cdn/shop/files/lateral-min_9f36678c-606b-48b2-9666-f9bc443acf5f.jpg?v=1722936229&width=1946, www.wearcomet.com/cdn/shop/files/lateral-min_9f36678c-606b-48b2-9666-f9bc443acf5f.jpg?v=1722936229&width=1946"
men-sneakers,X Lows PINECONE,https://www.wearcomet.com/products/x-lows-pinecone,www.wearcomet.com/cdn/shop/files/lateral-min_342aa061-758d-4648-9f7a-dd9b260d91bf.jpg?v=1724751294&width=533,₹ 4299MRP,"Sombre hues of brown and olive. An mnemonic of the vast timber trails of India. PINECONE is a rendezvous with solitude. A moment of hush amidst chaos. Let this be the one to reawaken your tranquillity and embark you on new journeys.Funk it up with an added Brown shoelace. This tropic colour palette is as Indian as it gets. The right layers of microfiber and mesh promise it will stay breathable, nimble, and edgy at all hours. Each time you slide your feet into a Comet shoe, prepare to descend into a cosy embrace.","3, 4, 5, 6, 7, 8, 9, 10, 11, 12","www.wearcomet.com/cdn/shop/files/lateral-min_342aa061-758d-4648-9f7a-dd9b260d91bf.jpg?v=1724751294&width=1946, www.wearcomet.com/cdn/shop/files/lateral-min_342aa061-758d-4648-9f7a-dd9b260d91bf.jpg?v=1724751294&width=1946"
men-sneakers,X Lows DARK,https://www.wearcomet.com/products/x-lows-dark,www.wearcomet.com/cdn/shop/files/Lateral-extra-lacing-min.jpg?v=1718630579&width=533,₹ 4299MRP,"A low-top silhouette in a timeless colour. Black upper. Black bottom. Black Spacewalk Sole. DARK is a fusion of mystery and aesthetics. A blend of shadows and subtleties in an obsidian enigma.Funk it up with an added Coral shoelace. The monochromatic palette lends it a sleek appearance. The right layers of microfiber and mesh promise it will stay breathable, nimble, and edgy at all hours. Each time you slide your feet into a Comet shoe, prepare to descend into a cosy embrace.","3, 4, 5, 6, 7, 8, 9, 10, 11, 12","www.wearcomet.com/cdn/shop/files/Lateral-extra-lacing-min.jpg?v=1718630579&width=1946, www.wearcomet.com/cdn/shop/files/Lateral-extra-lacing-min.jpg?v=1718630579&width=1946"
men-sneakers,X Lows MADAGASCAR,https://www.wearcomet.com/products/x-lows-madagascar,www.wearcomet.com/cdn/shop/files/lateral-min_8efe85e6-d8bf-43c1-bcde-aa784cefb724.jpg?v=1722936106&width=533,₹ 4299MRP,Strokes of pastel blues and greens. A dash of all shades of browns that is bound to accentuate any look. MADAGASCAR is a vibrant daydream of a sneaker. A multitude of subtle and striking hues collide and lend a fresh and playful canvas for all your adventures. The colourblock palette lends it a rarity and uniqueness that lets you walk away from the mainstream.,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12","www.wearcomet.com/cdn/shop/files/lateral-min_8efe85e6-d8bf-43c1-bcde-aa784cefb724.jpg?v=1722936106&width=1946, www.wearcomet.com/cdn/shop/files/lateral-min_8efe85e6-d8bf-43c1-bcde-aa784cefb724.jpg?v=1722936106&width=1946"
men-sneakers,X Lows TIRAMISU,https://www.wearcomet.com/products/x-lows-tiramisu,www.wearcomet.com/cdn/shop/files/tiramisu_lateral-min.jpg?v=1722317878&width=533,₹ 4299MRP,"Soft and airy. Bitter and sweet. The muted colour duo is rich and effortless to style. TIRAMISU combines chic with timeless and is bound to reign supreme.Funk it up with an added Black shoelace. The monochromatic palette lends it a sleeker appearance. The right layers of microfiber and mesh promise it will stay breathable, nimble, and edgy at all hours. Each time you slide your feet into a Comet shoe, prepare to descend into a cosy embrace.","3, 4, 5, 6, 7, 8, 9, 10, 11, 12","www.wearcomet.com/cdn/shop/files/tiramisu_lateral-min.jpg?v=1722317878&width=1946, www.wearcomet.com/cdn/shop/files/tiramisu_lateral-min.jpg?v=1722317878&width=1946"
men-sneakers,X Lows LAGOON,https://www.wearcomet.com/products/x-lows-lagoon,www.wearcomet.com/cdn/shop/files/lateral-min_1ce59f50-0b17-4840-9e6f-46200635f279.jpg?v=1724736048&width=533,₹ 4299MRP,"Shades of shallow blues. Pristine rocks resting on a bed of wet sand. Cloudy skies mirrored in the water come together and shine bright in hues of coral and yellow. LAGOON nudges you to begin again, embrace everything with a fresh start, stand out and stand tall.Funk it up with an added Black shoelace. The colourblock palette lends it a rarity and uniqueness that lets you walk away from the mainstream.The right layers of microfiber and mesh promise it will stay breathable, nimble, and edgy at all hours. Each time you slide your feet into a Comet shoe, prepare to descend into a cosy embrace.","3, 4, 5, 6, 7, 8, 9, 10, 11, 12","www.wearcomet.com/cdn/shop/files/lateral-min_1ce59f50-0b17-4840-9e6f-46200635f279.jpg?v=1724736048&width=1946, www.wearcomet.com/cdn/shop/files/lateral-min_1ce59f50-0b17-4840-9e6f-46200635f279.jpg?v=1724736048&width=1946"
men-sneakers,X Lows PUMPKIN,https://www.wearcomet.com/products/x-lows-pumpkin,www.wearcomet.com/cdn/shop/files/IMG_0108-min_57aecd8c-eb4b-4165-8b26-45fb29c5a19d.jpg?v=1720847488&width=533,₹ 4299MRP,"Costumes, pumpkin-spiced lattes and spirits. Inspired by the themes of Halloween, Pumpkin offers both sophistication and a touch of contemporary edge. Combining bold colours with playful elegance, the pair evokes the magic and excitement of a Halloween night everywhere you go. - Ever-soft and ever-snug grip- Roomy toe box lets our broad Indian toes breathe.- Irresistible comfort, thanks to SpaceWalk, our signature 3-layered sole system.","6, 7, 8, 9, 10, 11, 12","www.wearcomet.com/cdn/shop/files/IMG_0108-min_57aecd8c-eb4b-4165-8b26-45fb29c5a19d.jpg?v=1720847488&width=1946, www.wearcomet.com/cdn/shop/files/IMG_0108-min_57aecd8c-eb4b-4165-8b26-45fb29c5a19d.jpg?v=1720847488&width=1946"
men-sneakers,X Lows GHOST,https://www.wearcomet.com/products/x-lows-ghost,www.wearcomet.com/cdn/shop/files/IMG_0134-min_cbeddbe4-4247-4b7c-8e78-a123971140dd.jpg?v=1720845959&width=533,₹ 4299MRP,"A hauntingly stylish blend of black and shadowy hues, Ghost captures the essence of the spectral, offering an eerie elegance and a mysterious allure. Step into the unknown and embrace the darkness, for the pair is perfect for those who dare to walk in the shadows. - Ever-soft and ever-snug grip- Roomy toe box lets our broad Indian toes breathe.- Irresistible comfort, thanks to SpaceWalk, our signature 3-layered sole system.","6, 7, 8, 9, 10, 11, 12","www.wearcomet.com/cdn/shop/files/IMG_0134-min_cbeddbe4-4247-4b7c-8e78-a123971140dd.jpg?v=1720845959&width=1946, www.wearcomet.com/cdn/shop/files/IMG_0134-min_cbeddbe4-4247-4b7c-8e78-a123971140dd.jpg?v=1720845959&width=1946"
men-sneakers,X Lows LIGHT,https://www.wearcomet.com/products/x-lows-light,www.wearcomet.com/cdn/shop/files/light_lateral-min.jpg?v=1724735803&width=533,₹ 4299MRP,"Let there be light and all shall be alright. LIGHT has a flair that is hard to get over. Style it modern, style it vintage; this one is a shelf staple that will always be there to meet you halfway.Funk it up withshoelace of your choice. The monochromatic palette lends it a sleek appearance. The right layers of microfiber and mesh promise it will stay breathable, nimble, and edgy at all hours. Each time you slide your feet into a Comet shoe, prepare to descend into a cosy embrace.","3, 4, 5, 6, 7, 8, 9, 10, 11, 12","www.wearcomet.com/cdn/shop/files/light_lateral-min.jpg?v=1724735803&width=1946, www.wearcomet.com/cdn/shop/files/light_lateral-min.jpg?v=1724735803&width=1946"
men-sneakers,X Lows WASABI,https://www.wearcomet.com/products/x-lows-wasabi,www.wearcomet.com/cdn/shop/files/lateral-min_f5bd769d-86e7-43c4-bf69-9c1928059d07.jpg?v=1727439551&width=533,₹ 4299MRP,"Fresh mint comes together with crisp white within the periphery of classic black. WASABI is a portal to a carefree world. Spirited charm that’s true to its namesake, like a sunlit garden with a playful bounce stealing the show. The refreshing colour palette lends it a rarity and uniqueness that lets you walk away from the mainstream.","3, 4, 5, 6, 7, 8, 9, 10, 11, 12","www.wearcomet.com/cdn/shop/files/lateral-min_f5bd769d-86e7-43c4-bf69-9c1928059d07.jpg?v=1727439551&width=1946, www.wearcomet.com/cdn/shop/files/lateral-min_f5bd769d-86e7-43c4-bf69-9c1928059d07.jpg?v=1727439551&width=1946"
