Category,Sub Category,Product Name,Product Link,Sale Price,Original Price,Primary Image,Product Secondary Images,Product Id
Women Tops,Short sleeve,Printed T-shirt,https://www2.hm.com/en_in/productpage.1226449016.html,,799,"['lp2.hm.com/hmgoepprod?set=source[/2d/0d/2d0da926157c4db5addd186d98ca325842f03dd6.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/68/4b/684b2d850937624da2a681cdb9ee3ed6991b700d.jpg],origin[dam],category[ladies_tops_printed_tshirts],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']","['lp2.hm.com/hmgoepprod?set=source[/2d/0d/2d0da926157c4db5addd186d98ca325842f03dd6.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/68/4b/684b2d850937624da2a681cdb9ee3ed6991b700d.jpg],origin[dam],category[ladies_tops_printed_tshirts],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']",1226449016
Women Tops,Short sleeve,Square-neck ribbed top,https://www2.hm.com/en_in/productpage.1256445003.html,,799,"['lp2.hm.com/hmgoepprod?set=source[/4e/4a/4e4a2f39a4a12e762a63bbf4023b314ce2345e0c.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/e9/39/e9392d337d11df1253683aac91cb72fef8a9b7be.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']","['lp2.hm.com/hmgoepprod?set=source[/4e/4a/4e4a2f39a4a12e762a63bbf4023b314ce2345e0c.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/e9/39/e9392d337d11df1253683aac91cb72fef8a9b7be.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']",1256445003
Women Tops,Short sleeve,Printed T-shirt,https://www2.hm.com/en_in/productpage.1198432056.html,,499,"['lp2.hm.com/hmgoepprod?set=source[/70/5c/705c6999de0ba129451eda0e55275e01a97facb6.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/f7/f2/f7f276eadbf7a4744a35a2b1de62764e44121f40.jpg],origin[dam],category[ladies_tops_printed_tshirts],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']","['lp2.hm.com/hmgoepprod?set=source[/70/5c/705c6999de0ba129451eda0e55275e01a97facb6.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/f7/f2/f7f276eadbf7a4744a35a2b1de62764e44121f40.jpg],origin[dam],category[ladies_tops_printed_tshirts],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']",1198432056
Women Tops,Short sleeve,Printed T-shirt,https://www2.hm.com/en_in/productpage.1226449015.html,,799,"['lp2.hm.com/hmgoepprod?set=source[/78/a3/78a3d58f82843849a2415093b865da9a502df777.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/aa/6f/aa6f776f6e7eb350f3bc12ab775c24e782ebb10d.jpg],origin[dam],category[ladies_tops_printed_tshirts],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']","['lp2.hm.com/hmgoepprod?set=source[/78/a3/78a3d58f82843849a2415093b865da9a502df777.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/aa/6f/aa6f776f6e7eb350f3bc12ab775c24e782ebb10d.jpg],origin[dam],category[ladies_tops_printed_tshirts],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']",1226449015
Women Tops,Short sleeve,Printed T-shirt,https://www2.hm.com/en_in/productpage.1226449012.html,,799,"['lp2.hm.com/hmgoepprod?set=source[/12/93/1293fcd1d987e463818707f86b1f1cf130a5a8c8.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/44/02/4402c5db71acd87deba76a5d80add036c3955495.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']","['lp2.hm.com/hmgoepprod?set=source[/12/93/1293fcd1d987e463818707f86b1f1cf130a5a8c8.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/44/02/4402c5db71acd87deba76a5d80add036c3955495.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']",1226449012
Women Tops,Short sleeve,Bead-embellished T-shirt,https://www2.hm.com/en_in/productpage.1240882002.html,,"1,499","['lp2.hm.com/hmgoepprod?set=source[/15/4e/154e35e26f390fce64274166940ee5c9be164f48.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/4a/62/4a62ff5745b6fb23fc768f62dc2521cdab200d18.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']","['lp2.hm.com/hmgoepprod?set=source[/15/4e/154e35e26f390fce64274166940ee5c9be164f48.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/4a/62/4a62ff5745b6fb23fc768f62dc2521cdab200d18.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']",1240882002
Women Tops,Short sleeve,Fine-knit polo shirt,https://www2.hm.com/en_in/productpage.1226254010.html,,"1,299","['lp2.hm.com/hmgoepprod?set=source[/39/d1/39d18c68b7b822879f507f21c8c11f60589ffd1c.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/cd/65/cd65f155f8c47f5d167c9b480ecf00331dec2d81.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']","['lp2.hm.com/hmgoepprod?set=source[/39/d1/39d18c68b7b822879f507f21c8c11f60589ffd1c.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/cd/65/cd65f155f8c47f5d167c9b480ecf00331dec2d81.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']",1226254010
Women Tops,Short sleeve,Fitted T-shirt,https://www2.hm.com/en_in/productpage.1228404011.html,,499,"['lp2.hm.com/hmgoepprod?set=source[/a4/ac/a4ac76be88b52f89ffcda8109d55dd914664a539.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/71/57/71573ef4eb10d0464fb7bc3aab573853aaed548d.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']","['lp2.hm.com/hmgoepprod?set=source[/a4/ac/a4ac76be88b52f89ffcda8109d55dd914664a539.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/71/57/71573ef4eb10d0464fb7bc3aab573853aaed548d.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']",1228404011
Women Tops,Short sleeve,Oversized printed T-shirt,https://www2.hm.com/en_in/productpage.1227727062.html,,"1,299","['lp2.hm.com/hmgoepprod?set=source[/73/f0/73f0f810313df2a0fa45d61d6118ad5e09bd78f3.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/65/29/6529b4ccef4afc4fbe292f03a68e7525e61b2b7f.jpg],origin[dam],category[ladies_tops_printed_tshirts],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']","['lp2.hm.com/hmgoepprod?set=source[/73/f0/73f0f810313df2a0fa45d61d6118ad5e09bd78f3.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/65/29/6529b4ccef4afc4fbe292f03a68e7525e61b2b7f.jpg],origin[dam],category[ladies_tops_printed_tshirts],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']",1227727062
Women Tops,Short sleeve,Printed T-shirt,https://www2.hm.com/en_in/productpage.1226449013.html,,799,"['lp2.hm.com/hmgoepprod?set=source[/c8/8c/c88c1031b558d3d51bf14fe047bb1e18ea7b34df.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/fd/36/fd36c1a43e8be40ceed08232c83b969a863febaf.jpg],origin[dam],category[ladies_tops_printed_tshirts],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']","['lp2.hm.com/hmgoepprod?set=source[/c8/8c/c88c1031b558d3d51bf14fe047bb1e18ea7b34df.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/fd/36/fd36c1a43e8be40ceed08232c83b969a863febaf.jpg],origin[dam],category[ladies_tops_printed_tshirts],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']",1226449013
