Gender,Category,Sub Category,Link
Women,Tops,Cropped tops,https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html
Women,Tops,Short sleeve,https://www2.hm.com/en_in/women/shop-by-product/tops/short-sleeve.html
Women,Tops,"Women's Long Sleeve Tops | Cropped, T-Shirt & Mesh",https://www2.hm.com/en_in/women/shop-by-product/tops/long-sleeve.html
Women,Tops,T-shirts,https://www2.hm.com/en_in/women/shop-by-product/tops/t-shirts.html
Women,Tops,Graphic Tees & Printed T-Shirts,https://www2.hm.com/en_in/women/shop-by-product/tops/printed-graphic-t-shirts.html
Women,Tops,Tank Tops,https://www2.hm.com/en_in/women/shop-by-product/tops/vests.html
Women,Tops,Bodysuits,https://www2.hm.com/en_in/women/shop-by-product/tops/bodies.html
Women,Tops,Low Cut Tops,https://www2.hm.com/en_in/women/shop-by-product/tops/low-cut.html
Women,Tops,Corsets & Bustiers,https://www2.hm.com/en_in/women/shop-by-product/tops/corsets.html
Women,Tops,Collared Tops,https://www2.hm.com/en_in/women/shop-by-product/tops/collared.html
Women,Tops,Turtlenecks,https://www2.hm.com/en_in/women/shop-by-product/tops/turtleneck.html
Women,Tops,Halter Neck Tops,https://www2.hm.com/en_in/women/shop-by-product/tops/halter.html
Women,Tops,Puff Sleeve,https://www2.hm.com/en_in/women/shop-by-product/tops/puff-sleeve.html
Women,Tops,Cut Out Tops,https://www2.hm.com/en_in/women/shop-by-product/tops/cut-out.html
Women,Tops,Bandeau,https://www2.hm.com/en_in/women/shop-by-product/tops/bandeau.html
Women,Dresses,Sleeveless Dresses,https://www2.hm.com/en_in/women/shop-by-product/dresses/sleeveless.html
Women,Dresses,Puff Sleeve Dresses,https://www2.hm.com/en_in/women/shop-by-product/dresses/puffsleeve.html
Women,Dresses,Cami Dresses,https://www2.hm.com/en_in/women/shop-by-product/dresses/cami.html
Women,Dresses,Short Dresses,https://www2.hm.com/en_in/women/shop-by-product/dresses/short-dresses.html
Women,Dresses,Midi Dresses,https://www2.hm.com/en_in/women/shop-by-product/dresses/midi-dresses.html
Women,Dresses,Maxi Dresses,https://www2.hm.com/en_in/women/shop-by-product/dresses/maxi-dresses.html
Women,Dresses,Knitted dresses,https://www2.hm.com/en_in/women/shop-by-product/dresses/knitted-dresses.html
Women,Dresses,Long Sleeve Dresses,https://www2.hm.com/en_in/women/shop-by-product/dresses/long-sleeve.html
Women,Dresses,T-Shirt dresses,https://www2.hm.com/en_in/women/shop-by-product/dresses/t-shirt-dresses.html
Women,Dresses,Denim Dresses,https://www2.hm.com/en_in/women/shop-by-product/dresses/denim.html
Women,Dresses,Bodycon Dresses,https://www2.hm.com/en_in/women/shop-by-product/dresses/bodycon-dresses.html
Women,Dresses,Halter Neck Dresses,https://www2.hm.com/en_in/women/shop-by-product/dresses/halterneck.html
Women,Dresses,One Shoulder Dresses,https://www2.hm.com/en_in/women/shop-by-product/dresses/one-shoulder.html
Women,Dresses,Backless Dresses,https://www2.hm.com/en_in/women/shop-by-product/dresses/backless.html
Women,Dresses,Cut-Out Dresses,https://www2.hm.com/en_in/women/shop-by-product/dresses/cut-out.html
Women,Dresses,Party Dresses,https://www2.hm.com/en_in/women/shop-by-product/dresses/party-dresses.html
Women,Dresses,Wedding Guest,https://www2.hm.com/en_in/women/shop-by-product/dresses/wedding-guest.html
Women,Dresses,A-line,https://www2.hm.com/en_in/women/shop-by-product/dresses/a-line.html
Women,Dresses,Cocktail Dresses,https://www2.hm.com/en_in/women/shop-by-product/dresses/cocktail-dresses.html
Women,Dresses,Shirt Dresses,https://www2.hm.com/en_in/women/shop-by-product/dresses/shirt-dresses.html
Women,Dresses,Wrap Dresses,https://www2.hm.com/en_in/women/shop-by-product/dresses/wrap-dresses.html
Women,Dresses,Skater,https://www2.hm.com/en_in/women/shop-by-product/dresses/skater.html
Women,Dresses,Sweater Dresses,https://www2.hm.com/en_in/women/shop-by-product/dresses/jumper-dresses.html
Women,Dresses,Kaftan Dresses,https://www2.hm.com/en_in/women/shop-by-product/dresses/kaftan.html
Women,Shirts & Blouses,Linen Shirts,https://www2.hm.com/en_in/women/shop-by-product/shirts-blouses/linen.html
Women,Shirts & Blouses,Shirts,https://www2.hm.com/en_in/women/shop-by-product/shirts-blouses/shirts.html
Women,Shirts & Blouses,Blouses,https://www2.hm.com/en_in/women/shop-by-product/shirts-blouses/blouses.html
Women,Shirts & Blouses,Denim shirts,https://www2.hm.com/en_in/women/shop-by-product/shirts-blouses/denim-shirts.html
Women,Sweatshirts & Hoodies,Hoodies,https://www2.hm.com/en_in/women/shop-by-product/hoodies-sweatshirts/hoodies.html
Women,Sweatshirts & Hoodies,Sweatshirts,https://www2.hm.com/en_in/women/shop-by-product/hoodies-sweatshirts/sweatshirts.html
Women,Sweaters & Cardigans,Boleros,https://www2.hm.com/en_in/women/shop-by-product/cardigans-jumpers/boleros.html
Women,Sweaters & Cardigans,Sweater Vests,https://www2.hm.com/en_in/women/shop-by-product/cardigans-jumpers/sweater-vestss.html
Women,Sweaters & Cardigans,Cardigans,https://www2.hm.com/en_in/women/shop-by-product/cardigans-jumpers/cardigans.html
Women,Sweaters & Cardigans,Sweaters,https://www2.hm.com/en_in/women/shop-by-product/cardigans-jumpers/jumpers.html
Women,Sweaters & Cardigans,Roll Necks,https://www2.hm.com/en_in/women/shop-by-product/cardigans-jumpers/turtlenecks.html
Women,Blazers & Waistcoats,Oversized,https://www2.hm.com/en_in/women/shop-by-product/blazers-waistcoats/oversized.html
Women,Blazers & Waistcoats,Linen,https://www2.hm.com/en_in/women/shop-by-product/blazers-waistcoats/linen.html
Women,Blazers & Waistcoats,Cropped,https://www2.hm.com/en_in/women/shop-by-product/blazers-waistcoats/cropped.html
Women,Blazers & Waistcoats,Fitted,https://www2.hm.com/en_in/women/shop-by-product/blazers-waistcoats/fitted.html
Women,Blazers & Waistcoats,Double-Breasted,https://www2.hm.com/en_in/women/shop-by-product/blazers-waistcoats/double-breasted.html
Women,Jeans,Wide Leg Jeans,https://www2.hm.com/en_in/women/shop-by-product/jeans/wide-leg.html
Women,Jeans,Skinny,https://www2.hm.com/en_in/women/shop-by-product/jeans/skinny.html
Women,Jeans,Curvy,https://www2.hm.com/en_in/women/shop-by-product/jeans/curvy-fit.html
Women,Jeans,Slim & Straight,https://www2.hm.com/en_in/women/shop-by-product/jeans/straight.html
Women,Jeans,Loose & Baggy,https://www2.hm.com/en_in/women/shop-by-product/jeans/loose.html
Women,Jeans,Boyfriend Jeans,https://www2.hm.com/en_in/women/shop-by-product/jeans/boyfriend.html
Women,Jeans,Mom Jeans,https://www2.hm.com/en_in/women/shop-by-product/jeans/mom.html
Women,Trousers,Wide Leg Trousers,https://www2.hm.com/en_in/women/shop-by-product/trousers/wide-leg.html
Women,Trousers,High Waisted Trousers,https://www2.hm.com/en_in/women/shop-by-product/trousers/high-waisted.html
Women,Trousers,Cargo Trousers,https://www2.hm.com/en_in/women/shop-by-product/trousers/cargo.html
Women,Trousers,Leggings,https://www2.hm.com/en_in/women/shop-by-product/trousers/leggings.html
Women,Trousers,Joggers,https://www2.hm.com/en_in/women/shop-by-product/trousers/joggers.html
Women,Trousers,Flared Trousers,https://www2.hm.com/en_in/women/shop-by-product/trousers/flare.html
Women,Skirts,Mini,https://www2.hm.com/en_in/women/shop-by-product/skirts/mini.html
Women,Skirts,Pleated Skirts,https://www2.hm.com/en_in/women/shop-by-product/skirts/pleated.html
Women,Skirts,Short Skirts,https://www2.hm.com/en_in/women/shop-by-product/skirts/short-skirts.html
Women,Skirts,Midi Skirts,https://www2.hm.com/en_in/women/shop-by-product/skirts/midi-skirts.html
Women,Skirts,Maxi skirts,https://www2.hm.com/en_in/women/shop-by-product/skirts/long-skirts.html
Women,Skirts,Pencil Skirts,https://www2.hm.com/en_in/women/shop-by-product/skirts/pencil-skirts.html
Women,Skirts,Denim Skirts,https://www2.hm.com/en_in/women/shop-by-product/skirts/denim-skirts.html
Women,Skirts,High Waisted Skirts,https://www2.hm.com/en_in/women/shop-by-product/skirts/high-waisted-skirts.html
Women,Skirts,Skater skirts,https://www2.hm.com/en_in/women/shop-by-product/skirts/skater-skirts.html
Women,Skirts,Wrap Skirts,https://www2.hm.com/en_in/women/shop-by-product/skirts/wrap-skirts.html
Women,Jackets & Coats,Teddy & Pile,https://www2.hm.com/en_in/women/shop-by-product/jackets-coats/teddy.html
Women,Jackets & Coats,Hooded Jackets,https://www2.hm.com/en_in/women/shop-by-product/jackets-coats/hooded.html
Women,Jackets & Coats,Raincoats,https://www2.hm.com/en_in/women/shop-by-product/jackets-coats/raincoats.html
Women,Jackets & Coats,Anoraks,https://www2.hm.com/en_in/women/shop-by-product/jackets-coats/anoraks.html
Women,Jackets & Coats,Gilets,https://www2.hm.com/en_in/women/shop-by-product/jackets-coats/puffer-vests.html
Women,Jackets & Coats,Shackets,https://www2.hm.com/en_in/women/shop-by-product/jackets-coats/shirt-jackets.html
Women,Jackets & Coats,Jackets,https://www2.hm.com/en_in/women/shop-by-product/jackets-coats/jackets.html
Women,Jackets & Coats,Coats,https://www2.hm.com/en_in/women/shop-by-product/jackets-coats/coats.html
Women,Jackets & Coats,Denim jacket,https://www2.hm.com/en_in/women/shop-by-product/jackets-coats/denim-jackets.html
Women,Jackets & Coats,Puffer Jackets,https://www2.hm.com/en_in/women/shop-by-product/jackets-coats/puffer.html
Women,Sportswear,Sports Bras,https://www2.hm.com/en_in/women/shop-by-product/sportswear/sports-bras.html
Women,Sportswear,Bottoms,https://www2.hm.com/en_in/women/shop-by-product/sportswear/bottoms.html
Women,Sportswear,Leggings & Tights,https://www2.hm.com/en_in/women/shop-by-product/sportswear/leggings-tights.html
Women,Sportswear,T-shirts & Tops,https://www2.hm.com/en_in/women/shop-by-product/sportswear/tops-t-shirts.html
