Category,Sub Category,Product Name,Product Link,Sale Price,Original Price,Primary Image,Product Secondary Images,Product Id
WOMAN /// NEW,,DOUBLE-BREASTED COAT WITH GOLD BUTTONS,https://www.zara.com/in/en/relaxed-fit-washed-knit-tracksuit-pT0328432200.html?v1=404126585,,855,"['https://static.zara.net/assets/public/02e5/f06d/33b7442384d9/ac305116ccdf/09037141800-p/09037141800-p.jpg?ts=1726745889343&w={width}', 'https://static.zara.net/assets/public/c2db/fd55/989942a0b54d/7aff957a524f/09037141800-a1/09037141800-a1.jpg?ts=1726745893493&w={width}']","['https://static.zara.net/assets/public/02e5/f06d/33b7442384d9/ac305116ccdf/09037141800-p/09037141800-p.jpg?ts=1726745889343&w={width}', 'https://static.zara.net/assets/public/c2db/fd55/989942a0b54d/7aff957a524f/09037141800-a1/09037141800-a1.jpg?ts=1726745893493&w={width}']",392340612
WOMAN /// NEW,,TEXTURED CHECK TROUSERS,https://www.zara.com/in/en/relaxed-fit-washed-knit-tracksuit-pT0328432200.html?v1=404126585,,495,"['https://static.zara.net/assets/public/3ccf/618b/e438488b9537/f4c5b5336d9f/08011128070-p/08011128070-p.jpg?ts=1726745901281&w={width}', 'https://static.zara.net/assets/public/4a2c/80a7/8df445a1b862/76719fa79077/08011128070-a1/08011128070-a1.jpg?ts=1726745901126&w={width}']","['https://static.zara.net/assets/public/3ccf/618b/e438488b9537/f4c5b5336d9f/08011128070-p/08011128070-p.jpg?ts=1726745901281&w={width}', 'https://static.zara.net/assets/public/4a2c/80a7/8df445a1b862/76719fa79077/08011128070-a1/08011128070-a1.jpg?ts=1726745901126&w={width}']",392190090
WOMAN /// NEW,,HALTER NECK MIDI DRESS,https://www.zara.com/in/en/relaxed-fit-washed-knit-tracksuit-pT0328432200.html?v1=404126585,,355,"['https://static.zara.net/assets/public/0254/634e/e5a74fdf9bb8/3235017901d5/09247782600-p/09247782600-p.jpg?ts=1726745897498&w={width}', 'https://static.zara.net/assets/public/ca7d/ff48/734d48918370/3fd2603f247c/09247782600-a1/09247782600-a1.jpg?ts=1726745888633&w={width}']","['https://static.zara.net/assets/public/0254/634e/e5a74fdf9bb8/3235017901d5/09247782600-p/09247782600-p.jpg?ts=1726745897498&w={width}', 'https://static.zara.net/assets/public/ca7d/ff48/734d48918370/3fd2603f247c/09247782600-a1/09247782600-a1.jpg?ts=1726745888633&w={width}']",399507745
WOMAN /// NEW,,SCOOP NECK BLAZER,https://www.zara.com/in/en/relaxed-fit-washed-knit-tracksuit-pT0328432200.html?v1=404126585,,595,"['https://static.zara.net/assets/public/7dec/ede0/54964e05ace6/cc147ddb69fa/09083580800-p/09083580800-p.jpg?ts=1726745889864&w={width}', 'https://static.zara.net/assets/public/9006/ec68/85b74d8e82c3/66c1e32e5cce/09083580800-a1/09083580800-a1.jpg?ts=1726745887616&w={width}']","['https://static.zara.net/assets/public/7dec/ede0/54964e05ace6/cc147ddb69fa/09083580800-p/09083580800-p.jpg?ts=1726745889864&w={width}', 'https://static.zara.net/assets/public/9006/ec68/85b74d8e82c3/66c1e32e5cce/09083580800-a1/09083580800-a1.jpg?ts=1726745887616&w={width}']",399287227
WOMAN /// NEW,,FRINGED KNIT SWEATER,https://www.zara.com/in/en/relaxed-fit-washed-knit-tracksuit-pT0328432200.html?v1=404126585,,435,"['https://static.zara.net/assets/public/3e3a/c7f2/ac104d4f9938/8f4de3e36fa8/01822102600-p/01822102600-p.jpg?ts=1726745884661&w={width}', 'https://static.zara.net/assets/public/b2e4/c2cc/f9464f9db760/b2dc38dc2713/01822102600-a1/01822102600-a1.jpg?ts=1726745899331&w={width}']","['https://static.zara.net/assets/public/3e3a/c7f2/ac104d4f9938/8f4de3e36fa8/01822102600-p/01822102600-p.jpg?ts=1726745884661&w={width}', 'https://static.zara.net/assets/public/b2e4/c2cc/f9464f9db760/b2dc38dc2713/01822102600-a1/01822102600-a1.jpg?ts=1726745899331&w={width}']",376809625
WOMAN /// NEW,,TEXTURED DOUBLE-FABRIC MINI DRESS,https://www.zara.com/in/en/relaxed-fit-washed-knit-tracksuit-pT0328432200.html?v1=404126585,,495,"['https://static.zara.net/assets/public/5db2/abd9/9583414088b5/d0f2b3853ece/08982155065-a3/08982155065-a3.jpg?ts=1726745884424&w={width}', 'https://static.zara.net/assets/public/c679/5190/d1fe4863be30/7b3170e92f9d/08982155065-p/08982155065-p.jpg?ts=1726745889198&w={width}']","['https://static.zara.net/assets/public/5db2/abd9/9583414088b5/d0f2b3853ece/08982155065-a3/08982155065-a3.jpg?ts=1726745884424&w={width}', 'https://static.zara.net/assets/public/c679/5190/d1fe4863be30/7b3170e92f9d/08982155065-p/08982155065-p.jpg?ts=1726745889198&w={width}']",393594342
WOMAN /// NEW,,HIGH-WAIST TROUSERS,https://www.zara.com/in/en/relaxed-fit-washed-knit-tracksuit-pT0328432200.html?v1=404126585,,255,"['https://static.zara.net/assets/public/0853/3c5f/94ed4decae1a/8461f7a27b58/09929132800-a1/09929132800-a1.jpg?ts=1726775304805&w={width}', 'https://static.zara.net/assets/public/d533/719b/1d604b84a89a/3b1e16fa57ec/09929132800-p/09929132800-p.jpg?ts=1726775288300&w={width}']","['https://static.zara.net/assets/public/0853/3c5f/94ed4decae1a/8461f7a27b58/09929132800-a1/09929132800-a1.jpg?ts=1726775304805&w={width}', 'https://static.zara.net/assets/public/d533/719b/1d604b84a89a/3b1e16fa57ec/09929132800-p/09929132800-p.jpg?ts=1726775288300&w={width}']",370411500
WOMAN /// NEW,,TEXTURED SHORT WAISTCOAT,https://www.zara.com/in/en/relaxed-fit-washed-knit-tracksuit-pT0328432200.html?v1=404126585,,355,"['https://static.zara.net/assets/public/8da5/0ab4/7283445eb83b/1e453e326d89/08758152033-p/08758152033-p.jpg?ts=1726745887589&w={width}', 'https://static.zara.net/assets/public/caad/4b4e/69244810aa1b/dc05822d67eb/08758152033-a1/08758152033-a1.jpg?ts=1726745885742&w={width}']","['https://static.zara.net/assets/public/8da5/0ab4/7283445eb83b/1e453e326d89/08758152033-p/08758152033-p.jpg?ts=1726745887589&w={width}', 'https://static.zara.net/assets/public/caad/4b4e/69244810aa1b/dc05822d67eb/08758152033-a1/08758152033-a1.jpg?ts=1726745885742&w={width}']",390983138
WOMAN /// NEW,,CONTRAST COLLAR CREPE SHIRT,https://www.zara.com/in/en/relaxed-fit-washed-knit-tracksuit-pT0328432200.html?v1=404126585,,295,"['https://static.zara.net/assets/public/65ca/a8df/7cbb4679b3f1/a29ef5708948/07484162712-p/07484162712-p.jpg?ts=1726821604930&w={width}', 'https://static.zara.net/assets/public/eb40/f834/bc724d07bc9e/9b40902845c8/07484162712-a1/07484162712-a1.jpg?ts=1726821608511&w={width}']","['https://static.zara.net/assets/public/65ca/a8df/7cbb4679b3f1/a29ef5708948/07484162712-p/07484162712-p.jpg?ts=1726821604930&w={width}', 'https://static.zara.net/assets/public/eb40/f834/bc724d07bc9e/9b40902845c8/07484162712-a1/07484162712-a1.jpg?ts=1726821608511&w={width}']",397019611
WOMAN /// NEW,,PRINTED SEMI-SHEER SHIRT,https://www.zara.com/in/en/relaxed-fit-washed-knit-tracksuit-pT0328432200.html?v1=404126585,,295,"['https://static.zara.net/assets/public/07bb/408a/0f06407499f0/2e513e0a39de/09030213330-a2/09030213330-a2.jpg?ts=1726745880183&w={width}', 'https://static.zara.net/assets/public/def6/308d/d137491dbb3b/fe17d5b7f676/09030213330-p/09030213330-p.jpg?ts=1726745887553&w={width}']","['https://static.zara.net/assets/public/07bb/408a/0f06407499f0/2e513e0a39de/09030213330-a2/09030213330-a2.jpg?ts=1726745880183&w={width}', 'https://static.zara.net/assets/public/def6/308d/d137491dbb3b/fe17d5b7f676/09030213330-p/09030213330-p.jpg?ts=1726745887553&w={width}']",392491667
WOMAN /// NEW,,LACE-TRIMMED VELVET MINI DRESS,https://www.zara.com/in/en/relaxed-fit-washed-knit-tracksuit-pT0328432200.html?v1=404126585,,355,"['https://static.zara.net/assets/public/19e1/8a87/2e4d468ba429/780b1cff191e/09218617800-001-p/09218617800-001-p.jpg?ts=1726759602189&w={width}', 'https://static.zara.net/assets/public/a17f/cd69/f7514ae38570/f7a8b73fd347/09218617800-e1/09218617800-e1.jpg?ts=1726829902702&w={width}']","['https://static.zara.net/assets/public/19e1/8a87/2e4d468ba429/780b1cff191e/09218617800-001-p/09218617800-001-p.jpg?ts=1726759602189&w={width}', 'https://static.zara.net/assets/public/a17f/cd69/f7514ae38570/f7a8b73fd347/09218617800-e1/09218617800-e1.jpg?ts=1726829902702&w={width}']",405998588
WOMAN /// NEW,,BUTTONED STRETCH WAISTCOAT,https://www.zara.com/in/en/relaxed-fit-washed-knit-tracksuit-pT0328432200.html?v1=404126585,,235,"['https://static.zara.net/assets/public/df41/0665/a96645088bcc/7476417b4a57/05584657800-015-p/05584657800-015-p.jpg?ts=1726759490235&w={width}', 'https://static.zara.net/assets/public/627d/d74b/51da4ce69b90/1d24b2abfc7c/05584657800-015-a1/05584657800-015-a1.jpg?ts=1726759494479&w={width}']","['https://static.zara.net/assets/public/df41/0665/a96645088bcc/7476417b4a57/05584657800-015-p/05584657800-015-p.jpg?ts=1726759490235&w={width}', 'https://static.zara.net/assets/public/627d/d74b/51da4ce69b90/1d24b2abfc7c/05584657800-015-a1/05584657800-015-a1.jpg?ts=1726759494479&w={width}']",405998584
WOMAN /// NEW,,STRETCH MIDI DRESS,https://www.zara.com/in/en/relaxed-fit-washed-knit-tracksuit-pT0328432200.html?v1=404126585,,255,"['https://static.zara.net/assets/public/792a/df6c/16eb4229bdae/2abd593bdcbc/05584675800-p/05584675800-p.jpg?ts=1726745884687&w={width}', 'https://static.zara.net/assets/public/6f07/3d51/886d42598c94/c692882135e0/05584675800-a1/05584675800-a1.jpg?ts=1726745884479&w={width}']","['https://static.zara.net/assets/public/792a/df6c/16eb4229bdae/2abd593bdcbc/05584675800-p/05584675800-p.jpg?ts=1726745884687&w={width}', 'https://static.zara.net/assets/public/6f07/3d51/886d42598c94/c692882135e0/05584675800-a1/05584675800-a1.jpg?ts=1726745884479&w={width}']",395974220
WOMAN /// NEW,,BUCKET BAG WITH BUCKLE DETAIL,https://www.zara.com/in/en/relaxed-fit-washed-knit-tracksuit-pT0328432200.html?v1=404126585,,355,"['https://static.zara.net/assets/public/fbeb/090f/88a34cdda47a/f8b4188aa7b7/16097410800-016-a1/16097410800-016-a1.jpg?ts=1726759488525&w={width}', 'https://static.zara.net/assets/public/1f43/534f/59364aa0ad4b/08179a5f67e4/16097410800-016-p/16097410800-016-p.jpg?ts=1726759499386&w={width}']","['https://static.zara.net/assets/public/fbeb/090f/88a34cdda47a/f8b4188aa7b7/16097410800-016-a1/16097410800-016-a1.jpg?ts=1726759488525&w={width}', 'https://static.zara.net/assets/public/1f43/534f/59364aa0ad4b/08179a5f67e4/16097410800-016-p/16097410800-016-p.jpg?ts=1726759499386&w={width}']",405998585
WOMAN /// NEW,,STRETCH MIDI DRESS WITH CUT-OUT DETAIL,https://www.zara.com/in/en/relaxed-fit-washed-knit-tracksuit-pT0328432200.html?v1=404126585,,255,"['https://static.zara.net/assets/public/7696/f53c/cc334685a3e3/81890f91a6e8/05584677800-p/05584677800-p.jpg?ts=1726745889651&w={width}', 'https://static.zara.net/assets/public/3010/6fff/f6394f9fb935/6acc333c6e03/05584677800-a1/05584677800-a1.jpg?ts=1726745881108&w={width}']","['https://static.zara.net/assets/public/7696/f53c/cc334685a3e3/81890f91a6e8/05584677800-p/05584677800-p.jpg?ts=1726745889651&w={width}', 'https://static.zara.net/assets/public/3010/6fff/f6394f9fb935/6acc333c6e03/05584677800-a1/05584677800-a1.jpg?ts=1726745881108&w={width}']",395974226
